"TARIM, ORMANCILIK VE BALIKÇILIK",,
79,DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.
80,DURKN,DURUKAN ŞEKERLEME SANAYİ VE TİCARET A.Ş.
81,DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.
82,EFOR,EFOR YATIRIM SANAYİ TİCARET A.Ş.
83,EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.
84,EGGUB,EGE GÜBRE SANAYİİ A.Ş.
85,EPLAS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.
86,EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.
87,EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.
88,EKIZ,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.
89,EKOS,EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.
90,EKSUN,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.
91,ELITE,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.
92,EMKEL,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.
93,EMNIS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.
94,ENSRI,ENSARİ SINAİ YATIRIMLAR A.Ş.
95,ERBOS,ERBOSAN ERCİYAS BORU SANAYİ VE TİCARET A.Ş.
96,ERCB,ERCİYAS ÇELİK BORU SANAYİ A.Ş.
97,EREGL,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.
98,ERSU,ERSU MEYVE VE GIDA SANAYİ A.Ş.
99,TEZOL,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.
100,EUREN,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.
101,EUPWR,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.
102,FADE,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.
103,FMIZP,FEDERAL MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.
104,FROTO,FORD OTOMOTİV SANAYİ A.Ş.
105,FORMT,FORMET METAL VE CAM SANAYİ A.Ş.
106,FRIGO,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.
107,GEDZA,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.
108,GENTS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.
109,GEREL,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.
110,GIPTA,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.
111,GOODY,GOODYEAR LASTİKLERİ T.A.Ş.
112,GOKNR,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.
113,GOLTS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.
114,GUBRF,GÜBRE FABRİKALARI T.A.Ş.
115,GUNDG,GÜNDOĞDU GIDA SÜT ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.
116,HATEK,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.
117,HATSN,HAT-SAN GEMİ İNŞAA BAKIM ONARIM DENİZ NAKLİYAT SANAYİ VE TİCARET A.Ş.
118,HEKTS,HEKTAŞ TİCARET T.A.Ş.
